concurso,data_sorteio,bola1,bola2,bola3,bola4,bola5,bola6,bola7,bola8,bola9,bola10,bola11,bola12,bola13,bola14,bola15,arrecadacao_total,ganhadores_15_numeros,ganhadores_14_numeros,ganhadores_13_numeros,ganhadores_12_numeros,ganhadores_11_numeros,valor_rateio_15_numeros,valor_rateio_14_numeros,valor_rateio_13_numeros,valor_rateio_12_numeros,valor_rateio_11_numeros,acumulado_15_numeros,estimativa_premio,valor_acumulado_especial
93,04/07/2005,4,24,7,17,9,13,18,20,5,6,10,21,2,19,23,0,6,480,18433,230658,1352474,"271483,43","1454,37",10,4,2,0,0,0
94,11/07/2005,21,9,13,12,11,15,4,22,24,16,8,18,23,2,17,0,2,573,29882,267884,1577059,"694861,3","1039,43",10,4,2,0,0,0
95,18/07/2005,10,4,18,22,1,3,20,19,17,2,15,5,11,12,14,0,2,401,20787,231813,1294859,"883199,51","1887,85",10,4,2,0,0,0
96,25/07/2005,9,17,24,6,16,10,23,18,14,19,4,3,12,21,22,0,1,454,16790,220370,1209732,"1793190,45","1692,75",10,4,2,0,0,0
97,02/08/2005,4,10,13,22,17,3,23,24,12,14,15,25,19,20,6,0,4,539,19062,237912,1490877,"379485,48","1206,95",10,4,2,0,0,0
98,08/08/2005,24,17,15,25,8,18,22,6,1,11,23,20,5,2,10,0,5,1089,31800,376336,1625070,"238130,55","466,8",10,4,2,0,0,0
99,15/08/2005,4,7,24,25,20,14,1,2,10,16,17,11,21,13,3,0,4,695,19351,227907,1278734,"424895,89","1048,05",10,4,2,0,0,0
100,22/08/2005,11,22,14,25,10,8,23,13,4,16,17,9,3,12,1,0,6,547,39008,241845,1371980,"251438,56",1182,10,4,2,0,0,0
101,29/08/2005,7,6,14,19,13,3,21,23,1,24,16,17,9,20,10,0,9,917,26691,287551,1473207,"144911,71","607,23",10,4,2,0,0,0
102,05/09/2005,19,4,22,1,7,23,10,25,21,11,18,2,3,9,12,0,5,622,20635,267607,1361023,"323383,57","1114,09",10,4,2,0,0,0
103,12/09/2005,23,18,1,7,5,22,2,3,25,10,4,17,8,16,11,0,5,467,26477,269789,1577960,"276012,69","1266,5",10,4,2,0,0,0
104,19/09/2005,6,5,22,24,19,16,11,14,21,13,15,25,7,18,10,0,2,354,13835,196494,1186254,"982532,88","2379,02",10,4,2,0,0,0
105,26/09/2005,8,7,10,12,25,9,15,22,19,6,11,13,4,17,21,0,2,425,15988,225268,1278152,"855532,63","1725,44",10,4,2,0,0,0
106,03/10/2005,5,15,3,1,4,13,22,2,25,6,10,17,14,23,12,0,3,471,22766,286573,1570457,442710,"1208,49",10,4,2,0,0,0
107,10/10/2005,24,4,7,17,21,12,15,3,25,11,1,18,6,8,9,0,1,494,16680,215950,1314644,"1801807,58","1563,17",10,4,2,0,0,0
108,17/10/2005,9,15,25,14,16,2,8,11,12,7,1,22,4,23,18,0,8,1094,26164,281728,1425759,"159562,3","498,16",10,4,2,0,0,0
109,24/10/2005,9,7,23,1,11,25,18,13,20,3,21,5,24,16,12,0,14,2257,44187,335886,1552174,"76346,11","202,19",10,4,2,0,0,0
110,31/10/2005,23,20,3,6,5,1,4,25,12,13,21,17,22,14,19,0,2,442,23523,280697,1423182,"706957,82","1370,96",10,4,2,0,0,0
111,07/11/2005,10,1,19,21,25,17,12,5,11,15,13,24,6,18,22,0,1,415,17785,266234,1440550,"1503858,33","1553,04",10,4,2,0,0,0
112,14/11/2005,20,10,2,6,19,21,18,3,17,11,1,14,4,15,23,0,1,341,13885,218980,1274318,"1749331,36","2198,57",10,4,2,0,0,0
113,21/11/2005,6,14,24,2,19,5,12,8,20,21,4,11,1,13,25,0,3,437,16637,236170,1390432,"514867,34","1514,81",10,4,2,0,0,0
114,28/11/2005,20,3,22,9,6,2,14,1,10,25,24,11,21,8,7,0,0,320,11371,182608,1159190,0,"2542,69",10,4,2,1898540,0,0
115,05/12/2005,4,17,5,16,6,11,20,9,12,21,25,7,13,1,18,0,1,674,22580,326888,1754217,"4081776,78","1388,24",10,4,2,0,0,0
116,12/12/2005,11,13,18,10,25,23,16,1,14,2,19,21,12,9,20,0,2,484,20047,292261,1619598,"848830,45","1503,24",10,4,2,0,0,0
117,19/12/2005,14,20,5,11,9,23,18,17,6,13,25,15,7,12,10,0,3,498,18606,280170,1592727,"569686,18","1470,79",10,4,2,0,0,0
118,27/12/2005,24,15,21,22,18,4,14,13,19,6,12,2,23,8,5,0,4,660,35222,301415,1520411,357319,"928,1",10,4,2,0,0,0
119,02/01/2006,15,1,21,22,9,4,18,6,24,20,23,11,8,10,17,0,1,370,20989,223234,1259823,"1663143,71","1926,43",10,4,2,0,0,0
120,09/01/2006,3,8,19,7,20,16,15,13,12,11,1,24,18,21,5,0,2,758,25198,303361,1549722,"746715,01","844,38",10,4,2,0,0,0
121,16/01/2006,17,24,25,23,7,2,4,5,11,10,9,1,18,16,12,0,3,830,27637,298499,1491043,"492515,31","760,04",10,4,2,0,0,0
122,23/01/2006,5,22,2,10,13,15,9,20,4,25,1,18,23,17,8,0,8,1291,32778,368045,1643408,"136137,23","360,18",10,4,2,0,0,0
123,30/01/2006,20,13,21,6,18,5,4,7,17,24,19,12,23,11,22,0,4,670,18123,225258,1346974,"422565,92","1081,2",10,4,2,0,0,0
124,06/02/2006,19,9,2,6,24,7,20,16,15,3,25,14,4,18,21,0,2,396,15090,194421,1186925,"1036561,02","2243,64",10,4,2,0,0,0
